Unnamed: 0,edit_history_tweet_ids,tweetid,message,my_label,sentiment,trained_on,df_index,hashtag
66,[1605708769186533378],1605708769186533378,"RT @MarkusL32078761: @NDRpresse @tagesschau Ich schaue mir die Nachrichten nur an, um zu sehen was wieder nicht berichtet wurde oder mal wi…",,,0.0,66,[]
27,[1605711367150911489],1605711367150911489,"RT @MarkusL32078761: @NDRpresse @tagesschau Ich schaue mir die Nachrichten nur an, um zu sehen was wieder nicht berichtet wurde oder mal wi…",,,0.0,27,[]
70,[1605708614898839554],1605708614898839554,"@tagesschau Ich bin gerührt! Dann haben wir jetzt wirklich für 12 Stunden völlig umweltfreundliches Gas, das nicht vom pöhsen Russen kommt. Ich bin stolz darauf, im besten Deutschland leben zu dürfen, das wir je hatten!
Aber jetzt IRONIE OFF, sonst muss ich 🤢🤮",,,0.0,70,[]
91,[1605707667787452417],1605707667787452417,"📰 Israel: Netanyahu bildet rechts-religiöse Regierung

Quelle: https://t.co/ht0wyMZ4fq #Heute #Aktuell",,,0.0,91,"['Heute', 'Aktuell']"
32,[1605711011474022400],1605711011474022400,"@NDRpresse @hessemadche @tagesschau Vor 70 Jahren haben wir für sie noch Journalismus ausgeübt. Heute machen wir nur noch Propaganda gegen sie, Gendern gegen ihren Willen und heißen Millionen Fake-Flüchtlinge willkommen, die sie mit ihrem Germoney neben uns auch bezahlen dürfen. Das nennen wir wehrhafte Demokratie!",,,0.0,32,[]
51,[1605709360377827329],1605709360377827329,"@tagesschau Noch 2 Jahre, dann ist Biden weg, sind die Republikaner auch so großzügig, oder gibt es dann wieder
Amerika first? Mit niemals allein, wäre ich vorsichtig.",,,0.0,51,[]
0,[1605714678964842496],1605714678964842496,"RT @konold: Die @tagesschau spricht endlich das offensichtliche aus.

Vorangegangene Covid-19-Infektionen verursachen schlimmere Verläufe b…",,,0.0,0,[]
94,[1605707601471188992],1605707601471188992,"RT @konold: Die @tagesschau spricht endlich das offensichtliche aus.

Vorangegangene Covid-19-Infektionen verursachen schlimmere Verläufe b…",,,0.0,94,[]
24,[1605711626497167360],1605711626497167360,RT @RurikTy: @tomm21118 @NDRpresse @tagesschau Nach 70 Jahren nur noch Staatsgesteuerte Sendungen! Kein ehrlicher Journalismus dafür ÖRR Ma…,,,0.0,24,[]
58,[1605709027987578880],1605709027987578880,@tagesschau Selenskyj ist nur Bidens Laufbursche. Biden hilft nicht ihm sondern den USA.,,,0.0,58,[]
96,[1605707511205543937],1605707511205543937,"RT @tagesschau: Flüchtlinge an US-Grenze: ""Es geht ums blanke Überleben"" https://t.co/GtDLeNPU9Z #USA #Flüchtlinge #Abschiebungen",,,0.0,96,"['USA', 'Flüchtlinge', 'Abschiebungen']"
21,[1605711900167348229],1605711900167348229,@tagesschau Wer hätte das gedacht. ...,,,0.0,21,[]
87,[1605707931244056576],1605707931244056576,"RT @zweitkto: @Grundi_Freiheit @gerry6868 Mit Jahrzehnten Erfahrung in Ost und West bestätige ich der Tagesschau und Heute, dass sie das Qu…",,,0.0,87,[]
54,[1605709225010741249],1605709225010741249,"RT @tagesschau: Biden sichert Selenskyj weitere Hilfe zu: ""Sie werden niemals allein sein"" https://t.co/Z6ZEWjKUcQ #USA #Ukraine #Biden",,,0.0,54,"['USA', 'Ukraine', 'Biden']"
64,[1605708801247772680],1605708801247772680,"RT @MatthiaMeissner: Ziel des @bund_net  ist es, dass zukünftig in der Überschrift einer solchen Nachricht nicht mehr ""vorläufig"", sondern…",,,0.0,64,[]
38,[1605710317001904128],1605710317001904128,"RT @dazugeberin: @konold @tagesschau @BVKJ Ich verzichte auf die Entschuldigung.
Stattdessen will ich die Maskenpflicht in Schulen zurück +…",,,0.0,38,[]
10,[1605713584566272000],1605713584566272000,"@ARDde @tagesschau Theoretisch kann die ARD natürlich glauben, mit solch einer Ausrichtung die Zustimmung von CSU/CDU/AfD-Sachsen und Sachsen-Anhalt bei Einstimmigkeitsfragen zu bekommen. Nur werden dann möglichst alle anderen Länder halt nicht mehr zustimmen.",,,0.0,10,[]
55,[1605709169398538241],1605709169398538241,"@RalfEckhardt6 @NDRpresse @tagesschau Ich denke doch , die Leute haben es nur damals noch nicht wahrgenommen !",,,0.0,55,[]
85,[1605707982406311938],1605707982406311938,@tagesschau Die Strickliesel kann ja Panzer stricken.,,,0.0,85,[]
90,[1605707814969544704],1605707814969544704,"RT @ganCheangal: @NDRpresse @tagesschau Ja, wie das halt auch mit den älteren Mitmenschen so ist: mit dem Alter werden sie wunderlich und v…",,,0.0,90,[]
60,[1605708915089571840],1605708915089571840,RT @tagesschau: Gericht in Polen: Oder-Ausbau vorläufig gestoppt https://t.co/ls4JOla1bD #Oder #Polen #Ausbau,,,0.0,60,"['Oder', 'Polen', 'Ausbau']"
47,[1605709728213934081],1605709728213934081,RT @tagesschau: Israel: Netanyahu bildet rechts-religiöse Regierung https://t.co/HIMxbEQ04o #Israel #Netanyahu #Knesset,,,0.0,47,"['Israel', 'Netanyahu', 'Knesset']"
59,[1605708959175802881],1605708959175802881,RT @tagesschau: Israel: Netanyahu bildet rechts-religiöse Regierung https://t.co/HIMxbEQ04o #Israel #Netanyahu #Knesset,,,0.0,59,"['Israel', 'Netanyahu', 'Knesset']"
63,[1605708818985336833],1605708818985336833,RT @tagesschau: Israel: Netanyahu bildet rechts-religiöse Regierung https://t.co/HIMxbEQ04o #Israel #Netanyahu #Knesset,,,0.0,63,"['Israel', 'Netanyahu', 'Knesset']"
61,[1605708900866707456],1605708900866707456,"RT @RalfEckhardt6: @NDRpresse @tagesschau Es steht Euch überhaupt nicht zu, ein Jubiläum einer Sendung zu feiern, mit deren Wurzeln ihr rei…",,,0.0,61,[]
1,[1605714353012895745],1605714353012895745,"@tagesschau Bei den Ergebnissen, die von der AfD derzeit, insbesondere im Osten, erzielt werden, erstaunt mich das jetzt.",,,0.0,1,[]
65,[1605708784684466176],1605708784684466176,RT @tagesschau: Gasleitung explodiert - Verletzte in Duisburg https://t.co/6mgJjvaQGD #NordrheinWestfalen #Gasleitung #Brand,,,0.0,65,"['NordrheinWestfalen', 'Gasleitung', 'Brand']"
53,[1605709297748299776],1605709297748299776,"https://t.co/PRpP8cBorj
Das werden Sie psychisch kranker Mensch aber nicht mehr erleben, dafür werden bestimmte Leute in ihrem Umfeld schon Sorge tragen.

Also Herr Putin, immer schön die Augen offen halten!😉",,,0.0,53,[]
9,[1605713609765670914],1605713609765670914,@wahrsager333 @tagesschau Träume sind was Schönes,,,0.0,9,[]
46,[1605709754290110468],1605709754290110468,"RT @SevimDagdelen: Worum es geht? „Sollte eine Patriot-Rakete - gezielt oder fehlgeleitet - russisches Gebiet treffen, könnte dies von Russ…",,,0.0,46,[]
72,[1605708512197283842],1605708512197283842,"RT @SevimDagdelen: Worum es geht? „Sollte eine Patriot-Rakete - gezielt oder fehlgeleitet - russisches Gebiet treffen, könnte dies von Russ…",,,0.0,72,[]
84,[1605707982448328704],1605707982448328704,@Marylabytom @TyrusWolv @tagesschau West Propaganda wäscht euer gehirn sehr gut,,,0.0,84,[]
81,[1605708042565296128],1605708042565296128,"RT @JSevincBasad: Es lässt tief blicken, dass es der EU vollkommen egal war, als Twitter während der letzten Jahre wirklich alles und jeden…",,,0.0,81,[]
28,[1605711282878808064],1605711282878808064,RT @SteveMi42686670: @NDRpresse @hessemadche @tagesschau Vor 70 Jahren haben wir für sie noch Journalismus ausgeübt. Heute machen wir nur n…,,,0.0,28,[]
33,[1605710798482972673],1605710798482972673,@tagesschau Genau 👌wir zahlen mehr für ein System was überhaupt nicht funktioniert..super Idee,,,0.0,33,[]
14,[1605713191303909376],1605713191303909376,"RT @ReimundRuhnau: USA sind nicht auf einen ""direkten Krieg"" gegen Russland aus?🙄Das ist doch Unsinn, oder? Wenn mit USA Waffen rumgeballer…",,,0.0,14,[]
82,[1605708031651627010],1605708031651627010,@georg_graser @tagesschau Ach Georg. Alle Ungeimpften enteignen und das Geld für die Krankenhäuser zur Verfügung stellen,,,0.0,82,[]
19,[1605712377261047809],1605712377261047809,"RT @christophnebgen: Wo sind all die Schweine hin, wo sind sie geblieben?",,,0.0,19,[]
56,[1605709093196353536],1605709093196353536,RT @tagesschau: Trotz Staatshilfen: Lufthansa-Vorstand soll Boni erhalten https://t.co/lq4VaQCZE3 #Lufthansa #Coronavirus,,,0.0,56,"['Lufthansa', 'Coronavirus']"
98,[1605707398328438786],1605707398328438786,"RT @DrCWerner: Das wir das noch erleben dürfen! Bitte @tagesschau , sendet es zur Prime time! 
Kinder nehmen Schaden durch Coronainfektione…",,,0.0,98,[]
49,[1605709620521144320],1605709620521144320,@friecast A a a aber ich dachte Bitcoin hat keinen Nutzen und ist nur Stromverschwendung 🙄 So hat es mir zumindest die Tagesschau erzählt https://t.co/zETZx5kPsP,,,0.0,49,[]
97,[1605707400669003776],1605707400669003776,"@tagesschau Schön, die USA geht also mit der Ukraine unter. Mit ihr die EU. Und nein, das ist nicht auf meinem Mist gewachsen. Das kommt von Rockefeller.",,,0.0,97,[]
31,[1605711166306656256],1605711166306656256,RT @tagesschau: Bus und Bahn werden im kommenden Jahr deutlich teurer https://t.co/kIcuiKcUFz #Bus #Bahn #ÖPNV,,,0.0,31,"['Bus', 'Bahn', 'ÖPNV']"
93,[1605707603950067712],1605707603950067712,@tagesschau Die USA ist ein Terrorstaat.,,,0.0,93,[]
92,[1605707617023586304],1605707617023586304,"@stein_hajo @BuddyBe74394764 @tagesschau @ABaerbock Richtig. Auch der europäische Handel m afrikanischen Gütern ist Kolonialgeschichte. Unerheblich, wer wo gehockt hat.",,,0.0,92,[]
52,[1605709356325957633],1605709356325957633,"RT @ClaasGefroi: Man muss sich das mal vorstellen: Die Pharmahersteller verknappen das Angebot an Kindermedikamenten, was zu einem Mangel f…",,,0.0,52,[]
18,[1605712553065123840],1605712553065123840,"RT @Zahnfee3x7: Die EU beschließt unser Ende.....😡😡
Die Tagesschau zeigt es und niemanden interessiert es anscheinend...🤔 https://t.co/yxVi…",,,0.0,18,[]
12,[1605713223621099520],1605713223621099520,"RT @Zahnfee3x7: Die EU beschließt unser Ende.....😡😡
Die Tagesschau zeigt es und niemanden interessiert es anscheinend...🤔 https://t.co/yxVi…",,,0.0,12,[]
36,[1605710411688353792],1605710411688353792,"@tagesschau Groteskes Theater für die unwissende Masse. Komisch, den ISIS Anführer oder die Taliban Elite, hat man auch nie so öffentlich hofiert.",,,0.0,36,[]
88,[1605707893763981312],1605707893763981312,"@ZDFheute Die Tagesschau bezeichnet die wahrscheinliche AfD-NPD Koalition in Israel als ""nationalkonservativ"".🤣🤣🤣🤣🤯",,,0.0,88,[]
73,[1605708498226102272],1605708498226102272,RT @tagesschau: Liveblog: ++ Russlands Ölexporte um elf Prozent gesunken ++ https://t.co/ac2gKfgH8s #Liveblog #Ukraine,,,0.0,73,"['Liveblog', 'Ukraine']"
20,[1605712100265000966],1605712100265000966,@AlexanderBerl @tagesschau Alexander geh schlafen,,,0.0,20,[]
30,[1605711265158123522],1605711265158123522,"RT @realTomBohn: ""Die #Taliban haben die Frauenrechte weiter eingeschränkt: Afghaninnen dürfen nicht mehr Universitäten und Hochschulen bes…",,,0.0,30,['Taliban']
35,[1605710515191382016],1605710515191382016,"RT @realTomBohn: ""Die #Taliban haben die Frauenrechte weiter eingeschränkt: Afghaninnen dürfen nicht mehr Universitäten und Hochschulen bes…",,,0.0,35,['Taliban']
79,[1605708196240400386],1605708196240400386,RT @Grundi_Freiheit: Habe gestern aus Versehen 5 Minuten Tagesschau geschaut. Das ist ja wirklich unglaublich! Reine Propaganda. Macht das…,,,0.0,79,[]
67,[1605708636499505152],1605708636499505152,@womawo @tagesschau @baerbock Steht nirgends und wird nirgends gesagt. #Fakenews,,,0.0,67,['Fakenews']
41,[1605710020502384640],1605710020502384640,@Goektuerkler @tagesschau Du meinst diese? https://t.co/Usrrpochos,,,0.0,41,[]
6,[1605714014947852288],1605714014947852288,@tagesschau Das der nicht merkt wie er benutzt wird,,,0.0,6,[]
89,[1605707893348700161],1605707893348700161,@tagesschau Welches Jahr schreiben wir ? 1933 ?,,,0.0,89,[]
62,[1605708832721641472],1605708832721641472,"RT @Darkhor25227667: @NDRpresse @tagesschau Und leider von einer echten Institution zu einer Fake-News- &amp; Propagandaschleuder geworden. 

#…",,,0.0,62,[]
74,[1605708402323177475],1605708402323177475,@tagesthemen @tagesschau @ARD_Recht Das war nur ein Alibi-Schau-Prozeß für die jahrzehntelange Verschleppung der Aburteilung der wirklichen Nazis.,,,0.0,74,[]
77,[1605708360510078976],1605708360510078976,"@tagesschau Also genau wie in den 16 Jahren  zuvor als er Premierminister war. 

Nur durch den explosionsartigen Linksruck verschiebt sich die Mitte nach extrem rächts. Wie alles andere links vom linkspol",,,0.0,77,[]
7,[1605713786274566146],1605713786274566146,@NDRpresse @tagesschau Erfolgreiche Medien muß man nicht zwangsfinanzieren.,,,0.0,7,[]
99,[1605707375356260352],1605707375356260352,"@TyrusWolv @tagesschau Du lebst in einer Kolonie, sklave",,,0.0,99,[]
4,[1605714058732347393],1605714058732347393,RT @UlrichSchneider: Vorschlag zur Güte: Tut die Millionen Boni für die Lufthansa-Bosse in einen Härtefonds für die in der Krise geschasste…,,,0.0,4,[]
16,[1605712889612058625],1605712889612058625,RT @UlrichSchneider: Vorschlag zur Güte: Tut die Millionen Boni für die Lufthansa-Bosse in einen Härtefonds für die in der Krise geschasste…,,,0.0,16,[]
23,[1605711641508724739],1605711641508724739,"RT @RenateKuenast: Satz aus Absurdistan, „Der ernährungspolitische Sprecher der Unionsfraktion, Albert Stegemann, kritisiert, dass der Bund…",,,0.0,23,[]
34,[1605710538058653697],1605710538058653697,RT @NatalieAmiri: Menschenrechte in #Afghanistan: Taliban verbannen Frauen aus Universitäten | https://t.co/9Ga3v6lkmb https://t.co/NQodRmI…,,,0.0,34,['Afghanistan']
68,[1605708627892998144],1605708627892998144,"RT @NDRpresse: 🎉 Im Dezember 1952 ging die @tagesschau um 20 Uhr zum ersten Mal auf Sendung, jetzt wird Deutschlands erfolgreichste Nachric…",,,0.0,68,[]
95,[1605707555015008256],1605707555015008256,@tagesschau Die Israelis scheinen aus Ihrer Geschichte leider die falschen Schlüsse zu ziehen!,,,0.0,95,[]
42,[1605709907097010177],1605709907097010177,RT @Eddie_1412: Gerade in den Nachrichten gehört. #Lauterbach will Medikamente teurer machen um den Engpaß bei Kindermedikamenten zu bewält…,,,0.0,42,['Lauterbach']
50,[1605709581589417984],1605709581589417984,@DeppendorfU Die Tagesschau ist komplett Schrott und Mr. Depp.,,,0.0,50,[]
5,[1605714040503668739],1605714040503668739,"@ErGodbutter @tagesschau du sprichst so viele worte, aber keins davon trägt eine bedeutung",,,0.0,5,[]
29,[1605711280387461120],1605711280387461120,"@Travel6919 @tagesschau Ach, aus Mumien wurden auch Elixiere f langes Leben usw gemacht. Gute Heilwirkung.",,,0.0,29,[]
69,[1605708617432252417],1605708617432252417,@tagesschau Wer war das ? Ramelow ?,,,0.0,69,[]
11,[1605713298199941120],1605713298199941120,@realTomBohn @tagesschau Feministische Außenpolitik eben,,,0.0,11,[]
13,[1605713212225331200],1605713212225331200,"@NDRpresse @tagesschau Meinen Sie teuerste Gehirnwäsche und Framing Manual? Guckt kein normaler Mensch, bezahlen müssen alle.",,,0.0,13,[]
78,[1605708278713008130],1605708278713008130,"@meaglon2 @KevinLiberalis @tagesschau Bei Funk vielleicht, da wird einem immer übel.",,,0.0,78,[]
25,[1605711478257876992],1605711478257876992,@NDRpresse @tagesschau Von informativ und wissenswerten Inhalten nun zu propaganda und Haltungsjournalismus. Tief tief gesunken.,,,0.0,25,[]
75,[1605708386166886400],1605708386166886400,"@tagesschau Tja, die Verwaltung hat doch angekündigt, dass die Deutschen hungern sollen.",,,0.0,75,[]
43,[1605709789748674565],1605709789748674565,@tagesthemen @tagesschau @gudrun_engel Selenskyj ist nur Statthalter der USA in der Ukraine. Der holt wie Olaf nur seine Instruktionen.,,,0.0,43,[]
57,[1605709048766009344],1605709048766009344,@tagesschau Im Einzelhandel kommt davon aber nichts an.,,,0.0,57,[]
45,[1605709758576590848],1605709758576590848,@tagesschau Die USA haben der afghanischen Regierung und der afghanischen Armee ungefähr dasselbe versprochen.,,,0.0,45,[]
22,[1605711884757241856],1605711884757241856,@dorly77902770 @tagesschau In 2 Jahren hat die Ukraine den Krieg längst gewonnen.,,,0.0,22,[]
15,[1605713134601191424],1605713134601191424,RT @starkwatzinger: Gebildete Frauen sind offenbar die größte Bedrohung für das menschenverachtende Regime der #Taliban. Diese Entscheidung…,,,0.0,15,['Taliban']
17,[1605712871848964096],1605712871848964096,RT @starkwatzinger: Gebildete Frauen sind offenbar die größte Bedrohung für das menschenverachtende Regime der #Taliban. Diese Entscheidung…,,,0.0,17,['Taliban']
83,[1605708027310403584],1605708027310403584,@tagesthemen @tagesschau @gudrun_engel Fakt ist: „mit der #Ukraine ist es nun vorbei“ Zeit für #Der Verhandlungen. #Selensky kommt jetzt auf das Abstellgleis.,,,0.0,83,"['Ukraine', 'Der', 'Selensky']"
40,[1605710021504942082],1605710021504942082,@tagesschau Zwei Schauspieler treffen sich im Weißen Haus.,,,0.0,40,[]
3,[1605714085353488386],1605714085353488386,@tagesschau Ein Hoch auf #dieGrünen und seine Wähler... 🤣🤣🤣🤣,1.0,,1.0,3,['dieGrünen']
2,[1605714173974806528],1605714173974806528,Die Tagesschau berichtet über Millionen weniger Schweine in Zucht Anlagen. naja was soll ich sagen es sind die falschen Schweine gemeint🐷🐽👮‍♀️👮‍♂️,1.0,,1.0,2,[]
